Elapsed time,HTTP Request
20:16:01.500,0.0
20:16:02.0,0.0
20:16:02.500,0.0
20:16:03.0,0.0
20:16:03.500,0.0
20:16:04.0,0.0
20:16:04.500,0.0
20:16:05.0,0.0
20:16:05.500,0.0
20:16:06.0,0.0
20:16:06.500,0.0
20:16:16.0,0.0
20:16:16.500,0.0
20:16:17.0,0.0
20:16:17.500,0.0
20:16:18.0,0.0
20:16:18.500,0.0
20:16:19.0,0.0
20:16:19.500,0.0
20:16:20.0,0.0
20:16:20.500,0.0
20:16:21.0,0.0
20:16:43.500,47.3
20:16:44.0,15.9
20:16:44.500,15.8
20:16:45.0,9.4
20:16:45.500,11.5
20:16:46.0,12.7
20:16:46.500,244.75
20:16:47.0,262.1666666666667
20:16:47.500,123.85714285714289
20:16:48.0,14.6
20:18:47.0,184.66666666666666
20:18:47.500,16.8
20:18:48.0,15.0
20:18:48.500,13.0
20:18:49.0,20.8
20:18:49.500,17.8
20:18:50.0,7.5
20:18:50.500,7.5
20:18:51.0,6.2
20:18:51.500,7.1
20:18:52.0,6.0
